strategy,round,side,amount,result,bankroll,roi
Player1_Martingale,333,Tai,50000.00,Win,93775000.00,-6.22%
Player1_Martingale,334,Tai,50000.00,Lose,93725000.00,-6.28%
Player1_Martingale,335,Xiu,100000.00,Win,93820000.00,-6.18%
Player1_Martingale,336,Tai,50000.00,Win,93867500.00,-6.13%
Player1_Martingale,337,Xiu,50000.00,Lose,93817500.00,-6.18%
Player1_Martingale,338,Tai,100000.00,Lose,93717500.00,-6.28%
Player1_Martingale,339,Xiu,200000.00,Lose,93517500.00,-6.48%
Player1_Martingale,340,Tai,400000.00,Win,93897500.00,-6.10%
Player1_Martingale,341,Xiu,50000.00,Win,93945000.00,-6.05%
Player1_Martingale,342,Tai,50000.00,Win,93992500.00,-6.01%
Player1_Martingale,343,Tai,50000.00,Lose,93942500.00,-6.06%
Player1_Martingale,344,Tai,100000.00,Lose,93842500.00,-6.16%
Player1_Martingale,345,Xiu,200000.00,Win,94032500.00,-5.97%
Player1_Martingale,346,Xiu,50000.00,Lose,93982500.00,-6.02%
Player1_Martingale,347,Tai,100000.00,Win,94077500.00,-5.92%
Player1_Martingale,348,Xiu,50000.00,Win,94125000.00,-5.88%
Player1_Martingale,349,Xiu,50000.00,Win,94172500.00,-5.83%
Player1_Martingale,350,Xiu,50000.00,Win,94220000.00,-5.78%
Player1_Martingale,351,Tai,50000.00,Win,94267500.00,-5.73%
Player1_Martingale,352,Xiu,50000.00,Win,94315000.00,-5.68%
Player1_Martingale,353,Xiu,50000.00,Lose,94265000.00,-5.73%
Player1_Martingale,354,Xiu,100000.00,Lose,94165000.00,-5.83%
Player1_Martingale,355,Tai,200000.00,Win,94355000.00,-5.64%
Player1_Martingale,356,Tai,50000.00,Win,94402500.00,-5.60%
Player1_Martingale,357,Xiu,50000.00,Win,94450000.00,-5.55%
Player1_Martingale,358,Tai,50000.00,Win,94497500.00,-5.50%
Player1_Martingale,359,Tai,50000.00,Win,94545000.00,-5.46%
Player1_Martingale,360,Xiu,50000.00,Win,94592500.00,-5.41%
Player1_Martingale,361,Xiu,50000.00,Lose,94542500.00,-5.46%
Player1_Martingale,362,Xiu,100000.00,Win,94637500.00,-5.36%
Player1_Martingale,363,Tai,50000.00,Win,94685000.00,-5.32%
Player1_Martingale,364,Tai,50000.00,Lose,94635000.00,-5.37%
Player1_Martingale,365,Tai,100000.00,Win,94730000.00,-5.27%
Player1_Martingale,366,Xiu,50000.00,Win,94777500.00,-5.22%
Player1_Martingale,367,Tai,50000.00,Win,94825000.00,-5.17%
Player1_Martingale,368,Xiu,50000.00,Lose,94775000.00,-5.22%
Player1_Martingale,369,Tai,100000.00,Lose,94675000.00,-5.33%
Player1_Martingale,370,Tai,200000.00,Lose,94475000.00,-5.53%
Player1_Martingale,371,Xiu,400000.00,Win,94855000.00,-5.15%
Player1_Martingale,372,Tai,50000.00,Win,94902500.00,-5.10%
Player1_Martingale,373,Tai,50000.00,Win,94950000.00,-5.05%
Player1_Martingale,374,Tai,50000.00,Win,94997500.00,-5.00%
Player1_Martingale,375,Xiu,50000.00,Lose,94947500.00,-5.05%
Player1_Martingale,376,Xiu,100000.00,Win,95042500.00,-4.96%
Player1_Martingale,377,Xiu,50000.00,Win,95090000.00,-4.91%
Player1_Martingale,378,Xiu,50000.00,Win,95137500.00,-4.86%
Player1_Martingale,379,Tai,50000.00,Win,95185000.00,-4.81%
Player1_Martingale,380,Xiu,50000.00,Win,95232500.00,-4.77%
Player1_Martingale,381,Xiu,50000.00,Win,95280000.00,-4.72%
Player1_Martingale,382,Tai,50000.00,Win,95327500.00,-4.67%
Player1_Martingale,383,Xiu,50000.00,Win,95375000.00,-4.62%
Player1_Martingale,384,Tai,50000.00,Win,95422500.00,-4.58%
